Acc	Name	Desc	Status
PF10417.12	1-cysPrx_C	C-terminal domain of 1-Cys peroxiredoxin	included
PF12574.11	120_Rick_ant	120 KDa Rickettsia surface antigen	not_in_edm
PF09847.12	12TM_1	Membrane protein of 12 TMs	not_in_edm
PF00244.23	14-3-3	14-3-3 protein	not_in_edm
PF16998.8	17kDa_Anti_2	17 kDa outer membrane surface antigen	not_in_edm
PF00389.33	2-Hacid_dh	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	included
PF02826.22	2-Hacid_dh_C	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	included
PF00198.26	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	included
PF16078.8	2-oxogl_dehyd_N	2-oxoglutarate dehydrogenase N-terminus	not_in_edm
PF04029.17	2-ph_phosp	2-phosphosulpholactate phosphatase	included
PF04463.15	2-thiour_desulf	2-thiouracil desulfurase	not_in_edm
PF16620.8	23ISL	Unstructured linker between I-set domains 2 and 3 on MYLCK	not_in_edm
PF05635.14	23S_rRNA_IVP	23S rRNA-intervening sequence protein	not_in_edm
PF08521.13	2CSK_N	Two-component sensor kinase N-terminal	not_in_edm
PF08793.13	2C_adapt	2-cysteine adaptor domain	not_in_edm
PF20150.2	2EXR	2EXR family	
PF11591.11	2Fe-2S_Ferredox	Ferredoxin chloroplastic transit peptide	not_in_edm
PF01257.22	2Fe-2S_thioredx	Thioredoxin-like [2Fe-2S] ferredoxin	included
PF08975.13	2H-phosphodiest	Domain of unknown function (DUF1868)	not_in_edm
PF03390.18	2HCT	2-hydroxycarboxylate transporter family	not_in_edm
PF03171.23	2OG-FeII_Oxy	2OG-Fe(II) oxygenase superfamily	included
PF13532.9	2OG-FeII_Oxy_2	2OG-Fe(II) oxygenase superfamily	included
PF13640.9	2OG-FeII_Oxy_3	2OG-Fe(II) oxygenase superfamily	included
PF13661.9	2OG-FeII_Oxy_4	2OG-Fe(II) oxygenase superfamily	not_in_edm
PF13759.9	2OG-FeII_Oxy_5	Putative 2OG-Fe(II) oxygenase	not_in_edm
PF20515.1	2OG-FeII_Oxy_6	Tet-like 2OG-Fe(II) oxygenase superfamily	
PF10014.12	2OG-Fe_Oxy_2	2OG-Fe dioxygenase	included
PF13239.9	2TM	2TM domain	not_in_edm
PF13563.9	2_5_RNA_ligase2	2'-5' RNA ligase superfamily	not_in_edm
PF03475.17	3-alpha	3-alpha domain	not_in_edm
PF06983.16	3-dmu-9_3-mt	3-demethylubiquinone-9 3-methyltransferase	not_in_edm
