Acc	Name	Desc	Status
PF00001.20	7tm_1	7 transmembrane receptor (rhodopsin family)	not_in_edm
PF00002.23	7tm_2	7 transmembrane receptor (Secretin family)	not_in_edm
PF00003.21	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR	not_in_edm
PF00004.28	AAA	ATPase family associated with various cellular activities (AAA)	auto_discard
PF00005.26	ABC_tran	ABC transporter	auto_discard
PF00006.24	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain	included
PF00007.21	Cys_knot	Cystine-knot domain	not_in_edm
PF00008.26	EGF	EGF-like domain	not_in_bgc
PF00009.26	GTP_EFTU	Elongation factor Tu GTP binding domain	not_in_edm
PF00010.25	HLH	Helix-loop-helix DNA-binding domain	auto_discard
PF00011.20	HSP20	Hsp20/alpha crystallin family	not_in_edm
PF00012.19	HSP70	Hsp70 protein	auto_discard
PF00013.28	KH_1	KH domain	manual_discard
PF00014.22	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain	not_in_edm
PF00015.20	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain	not_in_edm
PF00016.19	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain	included
PF00017.23	SH2	SH2 domain	included
PF00018.27	SH3_1	SH3 domain	auto_discard
PF00019.19	TGF_beta	Transforming growth factor beta like domain	not_in_edm
PF00020.17	TNFR_c6	TNFR/NGFR cysteine-rich region	not_in_edm
PF00021.20	UPAR_LY6	u-PAR/Ly-6 domain	not_in_edm
PF00022.18	Actin	Actin	not_in_edm
PF00023.29	Ank	Ankyrin repeat	not_in_edm
PF00024.25	PAN_1	PAN domain	manual_discard
PF00025.20	Arf	ADP-ribosylation factor family	not_in_edm
PF00026.22	Asp	Eukaryotic aspartyl protease	included
PF00027.28	cNMP_binding	Cyclic nucleotide-binding domain	manual_discard
PF00028.16	Cadherin	Cadherin domain	manual_discard
PF00029.18	Connexin	Connexin	not_in_edm
PF00030.18	Crystall	Beta/Gamma crystallin	not_in_edm
PF00031.20	Cystatin	Cystatin domain	not_in_edm
PF00032.16	Cytochrom_B_C	Cytochrome b(C-terminal)/b6/petD	not_in_edm
PF00033.18	Cytochrome_B	Cytochrome b/b6/petB	not_in_edm
PF00034.20	Cytochrom_C	Cytochrome c	included
PF00035.25	dsrm	Double-stranded RNA binding motif	auto_discard
PF00036.31	EF-hand_1	EF hand	auto_discard
PF00037.26	Fer4	4Fe-4S binding domain	included
PF00038.20	Filament	Intermediate filament protein	not_in_edm
PF00039.17	fn1	Fibronectin type I domain	not_in_bgc
PF00040.18	fn2	Fibronectin type II domain	not_in_bgc
PF00041.20	fn3	Fibronectin type III domain	auto_discard
PF00042.21	Globin	Globin	included
PF00043.24	GST_C	Glutathione S-transferase, C-terminal domain	included
PF00044.23	Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain	included
PF00045.18	Hemopexin	Hemopexin	not_in_edm
PF00046.28	Homeobox	Homeobox domain	manual_discard
PF00047.24	ig	Immunoglobulin domain	not_in_bgc
