Name	Reason_to_include
Ferritin-like	Core domain for indolocarbazole biosynthesis, example staurosporine, occurs many times in SubClusterBlast sub-clusters [Joris]
Hexose_dehydrat	Important domain for sugar biosynthesis, occurs many times in SubClusterBlast sub-clusters [Joris]
Autoind_synth	Core domain for homoserine lactone biosynthesis [Joris]
DUF4440	Protein with this domain is responsible for ring closure in BGC0001433 and BGC0001296, and occurs 880 times in antismash-db [Joris]
RmlD_sub_bind	Sugar biosynthesis, occurs many times in SubClusterBlast sub-clusters [Joris]
Glyco_tranf_2_5	occurs in glucosamine (SubClusterBlast) [Joris]
SnoaL_4	occurs >1100 times in antismash-db and in t2pks of polyketomycin (SubClusterBlast) [Joris]
4HBT_2	thioesterase superfamily occurs in enedyine of calicheamicin (SubClusterBlast) and >500 times in antismash-db [Joris]
DUF1702	in all enedyines in SubClusterBlast sub-clusters, 400 times in antismash-db [Joris]
VCBS	involved in protein-protein binding? in all enedyines in SubClusterBlast sub-clusters, 700 times in antismash-db [Joris]
UnbV_ASPIC	involved in protein-protein binding? in all enedyines in SubClusterBlast sub-clusters, 300 times in antismash-db [Joris]
CmlA_N	BHT in teicoplanin (SubClusterBlast) >300 times in antismash-db [Joris]
Lactamase_B_3(Pfam32)	BHT in teicoplanin (SubClusterBlast) >900 times in antismash-db [Joris]
GDP_Man_Dehyd	involved in mannose biosynthesis in zorbamycin (SubClusterBlast), occurs >300 times in antismash-db [Joris]
Esterase_phd	involved in FK520 biosynthesis (SubClusterBlast), occurs >300 times in antismash-db [Joris]
MycE_N(Pfam32)	methyltransferase in mycinamicin and BGC0000148 (SubClusterBlast), domain called after mycE of mycinamicin, occurs 40 times in antismash-db [Joris]
YmdB	phosphatase involvde in salinosporamide (SubClusterBlast), occurs 50 times in antismash-db [Joris]
tRNA-synt_2	used for modified amino acid synthesis in streptolydigin (SubClusterBlast), presence >40 in antismash-db [Joris]
Transglut_core3	lassopeptide protease? occurs >1900 times in antismash-db [Joris]
Hexapep_2	acetyltransferase? occurs 1500 times in antismash-db [Joris]
